t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
0,5.0,18.830156684255577,2687.310243042949,238.18346563971426,4435.927771771421,120.0,19.279911455693934,max_safe_rate,11,11
1,10.0,40.51411159654096,2586.3338890120835,282.2707387885409,4395.475059690498,120.0,40.616908722033344,max_safe_rate,21,21
2,15.0,61.98861274242556,2504.1942817854806,324.69352373087986,4295.56018987584,120.0,62.170174431885044,max_safe_rate,21,21
3,20.0,82.58542493079266,2376.3845535410296,366.46946299818813,4251.638086600933,120.0,82.62717154944012,max_safe_rate,21,21
4,25.0,101.4925451983724,2284.264102893169,405.63736309160606,4191.999229915422,120.0,101.8510113642239,max_safe_rate,21,21
5,30.0,119.11288131917549,2199.2783437505204,439.9047700565972,4149.462576794038,120.0,119.4354479126132,target_achieved,21,21
6,25.0,128.31584485410886,2164.394363589763,460.98724043429166,4107.481524906228,120.0,128.00615271174615,target_achieved,21,21
7,20.0,129.451883510876,2142.3261106625414,460.98400153995277,4133.851167187967,120.0,130.12016182572793,target_achieved,21,21
8,15.0,125.85884459300806,2161.2298846494505,449.9984286028467,4135.617618861823,120.0,125.85322892162894,target_achieved,21,21
9,12.0,120.13695085619601,2207.5181651272687,437.9222123370778,4145.730384170068,120.0,119.81327175840303,target_achieved,21,21
10,16.0,119.8492932030017,2203.509728495245,441.4740418621446,4145.2909364547095,120.0,120.26039283887047,target_achieved,21,21
11,16.0,120.24875225087892,2201.533933520976,440.31948700928797,4153.543341021307,120.0,120.05441828375783,target_achieved,21,21
12,15.5,118.48145799853198,2199.723314196113,437.67027914752487,4128.715939721457,120.0,119.80627570146865,target_achieved,21,21
13,17.0,120.41599964837805,2213.5131797787926,439.2539044108177,4158.289254016284,120.0,120.11885041380206,target_achieved,21,21
14,15.5,118.87249446138526,2196.909185995516,440.1202971028395,4152.492196234979,120.0,119.92603162630184,target_achieved,21,21
15,16.5,120.87061204458269,2206.5065310479317,440.1158688343101,4129.105475763902,120.0,119.88087578809007,target_achieved,21,21
16,15.5,120.29504866528654,2198.988597226941,436.7586847771871,4117.193629987461,120.0,120.25155255375546,target_achieved,21,21
17,15.5,118.75901408737768,2208.9398659367666,438.9273540518031,4156.377713634489,120.0,119.83942581325962,target_achieved,21,21
18,16.5,119.77480018440093,2201.587720552419,441.43893109254935,4133.503016098471,120.0,119.79961923436844,target_achieved,21,21
19,16.0,120.29648523682395,2192.607339782661,439.24593833851674,4132.0310466619485,120.0,120.00107825892309,target_achieved,21,21
20,15.5,118.76590931846522,2207.961495454159,437.93036581029173,4141.817808401832,120.0,119.84045445678785,target_achieved,21,21
