t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
0,5.0,18.830156684255577,2687.310243042949,238.18346563971426,4435.927771771421,500.0,19.279911455693934,max_safe_rate,11,11
1,10.0,40.51411159654096,2586.3338890120835,282.2707387885409,4395.475059690498,500.0,40.616908722033344,max_safe_rate,21,21
2,15.0,61.98861274242556,2504.1942817854806,324.69352373087986,4295.56018987584,500.0,62.170174431885044,max_safe_rate,21,21
3,20.0,82.58542493079266,2376.3845535410296,366.46946299818813,4251.638086600933,500.0,82.62717154944012,max_safe_rate,21,21
4,25.0,101.4925451983724,2284.264102893169,405.63736309160606,4191.999229915422,500.0,101.8510113642239,max_safe_rate,21,21
5,30.0,119.11288131917549,2199.2783437505204,439.9047700565972,4149.462576794038,500.0,119.4354479126132,max_safe_rate,21,21
6,35.0,136.122319676557,2125.3584665832855,476.7348794390709,4084.1578227303316,500.0,135.77304080820522,max_safe_rate,21,21
7,40.0,150.732390460189,2036.0844056162719,503.78572333631587,4069.484412789543,500.0,151.41555152729774,max_safe_rate,21,21
8,45.0,165.23458947373945,1965.0664432960775,528.4699809136495,4017.038561674622,500.0,165.1294553643906,max_safe_rate,21,21
9,50.0,179.25975089981182,1912.1988315119766,555.3379955974314,3968.81356444807,500.0,178.58984306305035,max_safe_rate,21,21
10,55.0,191.14891311914644,1846.829915931518,584.6110967855923,3931.2778040192616,500.0,191.55826006488175,max_safe_rate,21,21
11,60.0,203.44476039802004,1786.8211058821958,606.388307229804,3904.014549080312,500.0,202.86693075334819,max_safe_rate,21,21
12,65.0,212.28528739155632,1728.017079410618,626.2103718381306,3846.1446372832183,500.0,214.3525110044454,max_safe_rate,21,21
13,70.0,224.0668222322782,1690.6659826693883,645.9424522668141,3845.400899514228,500.0,223.26261325819848,max_safe_rate,21,21
14,75.0,232.446909028682,1625.1772202264356,669.3830690214096,3807.8704873793545,500.0,234.18795294362485,max_safe_rate,21,21
15,80.0,244.89927617203466,1586.1094798306497,686.863211696941,3759.1951069417996,500.0,242.5960037275804,max_safe_rate,21,21
16,85.0,254.3462068045845,1532.2342165747473,702.0130196564971,3719.027019266295,500.0,253.84581164175066,max_safe_rate,21,21
17,90.0,260.93999632127463,1492.9763130674419,724.8060800708832,3726.3853714349134,500.0,262.87590082148256,max_safe_rate,21,21
18,95.0,270.14420106073123,1447.5338706975551,743.7642758906564,3682.128302071808,500.0,269.8008918324285,max_safe_rate,21,21
19,100.0,279.6590313053887,1400.2414301547806,756.6675070598675,3655.943254868005,500.0,278.5377591875741,max_safe_rate,21,21
20,100.0,283.26456576287336,1378.5060768929313,768.1298463047972,3645.322365409523,500.0,285.3507638299079,max_safe_rate,11,11
